tm,ba,def_eff,era,w
MIN,0.287,0.685,3.95,96
NYM,0.264,0.701,4.14,97
NYY,0.285,0.696,4.41,97
OAK,0.26,0.688,4.21,93
PHI,0.267,0.681,4.6,85
PIT,0.263,0.674,4.52,67
SD,0.263,0.71,3.87,88
SEA,0.272,0.69,4.6,78
SF,0.259,0.7,4.63,76
STL,0.269,0.697,4.54,83
TB,0.255,0.671,4.96,61
TEX,0.278,0.678,4.6,80
TOR,0.284,0.693,4.37,87
WSH,0.262,0.689,5.03,71
AZ,0.25,0.691,4.13,90
ATL,0.275,0.696,4.11,84
BAL,0.272,0.686,5.17,69
BOS,0.279,0.704,3.87,96
CHC,0.271,0.704,4.04,85
CWS,0.246,0.68,4.77,72
CIN,0.267,0.676,4.94,72
CLE,0.268,0.685,4.05,96
COL,0.28,0.701,4.32,90
DET,0.287,0.69,4.57,88
MIA,0.267,0.659,4.94,71
HOU,0.26,0.685,4.68,73
KC,0.261,0.681,4.48,69
LAA,0.284,0.678,4.23,94
LAD,0.275,0.682,4.2,82
MIL,0.262,0.675,4.41,83
MIN,0.264,0.685,4.15,79
NYM,0.275,0.698,4.26,88
NYY,0.29,0.689,4.49,94
OAK,0.256,0.691,4.28,76
PHI,0.274,0.686,4.73,89
PIT,0.263,0.673,4.93,68
SD,0.251,0.699,3.7,89
SEA,0.287,0.672,4.73,88
SF,0.254,0.694,4.19,71
STL,0.274,0.689,4.65,78
TB,0.268,0.652,5.53,66
TEX,0.263,0.679,4.75,75
TOR,0.259,0.703,4,83
WSH,0.256,0.698,4.58,73
AZ,0.251,0.685,3.98,82
ATL,0.27,0.692,4.46,72
BAL,0.267,0.687,5.13,68
BOS,0.28,0.698,4.01,95
CHC,0.278,0.703,3.87,97
CWS,0.263,0.686,4.06,89
CIN,0.247,0.671,4.55,74
CLE,0.262,0.685,4.45,81
COL,0.263,0.677,4.77,74
DET,0.271,0.683,4.9,74
MIA,0.254,0.692,4.43,84
HOU,0.263,0.697,4.36,86
KC,0.269,0.688,4.48,75
LAA,0.268,0.691,3.99,100
LAD,0.264,0.69,3.68,84
MIL,0.253,0.7,3.85,90
MIN,0.279,0.684,4.16,88
NYM,0.266,0.699,4.07,89
NYY,0.271,0.682,4.28,89
OAK,0.242,0.699,4.01,75
PHI,0.255,0.695,3.88,92
PIT,0.258,0.675,5.08,67
SD,0.25,0.694,4.41,63
SEA,0.265,0.679,4.73,61
SF,0.262,0.685,4.38,72
STL,0.281,0.694,4.19,86
TB,0.26,0.708,3.82,97
TEX,0.283,0.666,5.37,79
TOR,0.264,0.703,3.49,86
WSH,0.251,0.686,4.66,59
AZ,0.253,0.683,4.42,70
ATL,0.263,0.686,3.57,86
BAL,0.268,0.68,5.15,64
BOS,0.27,0.678,4.35,95
CHC,0.255,0.698,3.84,83
CWS,0.258,0.689,4.14,79
CIN,0.247,0.704,4.18,78
CLE,0.264,0.681,5.06,65
COL,0.261,0.688,4.22,92
DET,0.26,0.694,4.29,86
MIA,0.268,0.686,4.29,87
HOU,0.26,0.677,4.54,74
KC,0.259,0.675,4.83,65
LAA,0.285,0.687,4.45,97
LAD,0.27,0.713,3.41,95
MIL,0.263,0.689,4.83,80
MIN,0.274,0.689,4.5,87
NYM,0.27,0.693,4.45,70
NYY,0.283,0.698,4.26,103
OAK,0.262,0.682,4.26,75
PHI,0.258,0.693,4.16,93
PIT,0.252,0.69,4.59,62
SD,0.242,0.692,4.37,75
SEA,0.258,0.712,3.87,85
SF,0.257,0.706,3.55,88
STL,0.263,0.694,3.66,91
TB,0.263,0.695,4.33,84
TEX,0.26,0.697,4.38,87
TOR,0.266,0.681,4.47,75
WSH,0.258,0.683,5,59
AZ,0.25,0.689,4.81,65
ATL,0.258,0.69,3.56,91
BAL,0.259,0.69,4.59,66
BOS,0.268,0.691,4.2,89
CHC,0.257,0.681,4.18,75
CWS,0.268,0.679,4.09,88
CIN,0.272,0.701,4.01,91
CLE,0.248,0.687,4.3,69
COL,0.263,0.682,4.14,83
DET,0.268,0.688,4.3,81
MIA,0.254,0.681,4.08,80
HOU,0.247,0.68,4.09,76
KC,0.274,0.679,4.97,67
LAA,0.248,0.692,4.04,80
LAD,0.252,0.697,4.01,80
MIL,0.262,0.675,4.58,77
MIN,0.273,0.69,3.95,94
NYM,0.249,0.691,3.7,79
NYY,0.267,0.709,4.06,95
OAK,0.256,0.711,3.56,81
PHI,0.26,0.698,3.67,97
PIT,0.242,0.671,5,57
SD,0.246,0.703,3.39,90
SEA,0.236,0.705,3.93,61
SF,0.257,0.707,3.36,92
STL,0.263,0.694,3.57,86
TB,0.247,0.709,3.78,96
TEX,0.276,0.704,3.93,90
TOR,0.248,0.689,4.22,85
WSH,0.25,0.684,4.13,69
